32610
[sudo] password for yarikov: 2018-07-17 17:28:43 [INFO    ] Host: stapel.red-soft.ru
2018-07-17 17:40:29 [DEBUG   ] Linked 4500 out of 16692 packages
2018-07-17 17:40:29 [DEBUG   ] Linked 4600 out of 16692 packages
2018-07-17 17:40:29 [DEBUG   ] Linked 4700 out of 16692 packages
2018-07-17 17:40:29 [DEBUG   ] Linked 4800 out of 16692 packages
2018-07-17 17:40:29 [DEBUG   ] Linked 4900 out of 16692 packages
2018-07-17 17:40:29 [DEBUG   ] Linked 5000 out of 16692 packages
2018-07-17 17:40:29 [DEBUG   ] Linked 5100 out of 16692 packages
2018-07-17 17:40:29 [DEBUG   ] Linked 5200 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 5300 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 5400 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 5500 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 5600 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 5700 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 5800 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 5900 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 6000 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 6100 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 6200 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 6300 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 6400 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 6500 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 6600 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 6700 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 6800 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 6900 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 7000 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 7100 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 7200 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 7300 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 7400 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 7500 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 7600 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 7700 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 7800 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 7900 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 8000 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 8100 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 8200 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 8300 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 8400 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 8500 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 8600 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 8700 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 8800 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 8900 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 9000 out of 16692 packages
2018-07-17 17:40:31 [DEBUG   ] Linked 9100 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 9200 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 9300 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 9400 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 9500 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 9600 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 9700 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 9800 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 9900 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 10000 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 10100 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 10200 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 10300 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 10400 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 10500 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 10600 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 10700 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 10800 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 10900 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 11000 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 11100 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 11200 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 11300 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 11400 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 11500 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 11600 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 11700 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 11800 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 11900 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 12000 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 12100 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 12200 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 12300 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 12400 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 12500 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 12600 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 12700 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 12800 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 12900 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 13000 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 13100 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 13200 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 13300 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 13400 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 13500 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 13600 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 13700 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 13800 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 13900 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 14000 out of 16692 packages
2018-07-17 17:40:32 [DEBUG   ] Linked 14100 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 14200 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 14300 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 14400 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 14500 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 14600 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 14700 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 14800 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 14900 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 15000 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 15100 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 15200 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 15300 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 15400 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 15500 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 15600 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 15700 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 15800 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 15900 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 16000 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 16100 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 16200 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 16300 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 16400 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 16500 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 16600 out of 16692 packages
2018-07-17 17:40:33 [DEBUG   ] Linked 16692 out of 16692 packages
2018-07-17 17:40:34 [INFO    ] [DONE ] Linking downloaded pkgset packages
2018-07-17 17:40:34 [INFO    ] Populating the global package set from a file list
2018-07-17 17:40:34 [INFO    ] [BEGIN] Getting RPMs from file list
2018-07-17 17:40:34 [DEBUG   ] Package set: spawning 10 worker threads (SRPMs)
2018-07-17 17:40:35 [DEBUG   ] Processed 100 out of 2859 packages
2018-07-17 17:40:38 [DEBUG   ] Processed 200 out of 2859 packages
2018-07-17 17:40:40 [DEBUG   ] Processed 300 out of 2859 packages
2018-07-17 17:40:43 [DEBUG   ] Processed 400 out of 2859 packages
2018-07-17 17:40:44 [DEBUG   ] Processed 500 out of 2859 packages
2018-07-17 17:40:45 [DEBUG   ] Processed 600 out of 2859 packages
2018-07-17 17:40:46 [DEBUG   ] Processed 700 out of 2859 packages
2018-07-17 17:40:46 [DEBUG   ] Processed 800 out of 2859 packages
2018-07-17 17:40:46 [DEBUG   ] Processed 900 out of 2859 packages
2018-07-17 17:40:47 [DEBUG   ] Processed 1000 out of 2859 packages
2018-07-17 17:40:48 [DEBUG   ] Processed 1100 out of 2859 packages
2018-07-17 17:40:49 [DEBUG   ] Processed 1200 out of 2859 packages
2018-07-17 17:40:50 [DEBUG   ] Processed 1300 out of 2859 packages
2018-07-17 17:40:52 [DEBUG   ] Processed 1400 out of 2859 packages
2018-07-17 17:40:53 [DEBUG   ] Processed 1500 out of 2859 packages
2018-07-17 17:40:53 [DEBUG   ] Processed 1600 out of 2859 packages
2018-07-17 17:40:54 [DEBUG   ] Processed 1700 out of 2859 packages
2018-07-17 17:40:55 [DEBUG   ] Processed 1800 out of 2859 packages
2018-07-17 17:40:58 [DEBUG   ] Processed 1900 out of 2859 packages
2018-07-17 17:40:59 [DEBUG   ] Processed 2000 out of 2859 packages
2018-07-17 17:41:00 [DEBUG   ] Processed 2100 out of 2859 packages
2018-07-17 17:41:03 [DEBUG   ] Processed 2200 out of 2859 packages
2018-07-17 17:41:04 [DEBUG   ] Processed 2300 out of 2859 packages
2018-07-17 17:41:05 [DEBUG   ] Processed 2400 out of 2859 packages
2018-07-17 17:41:07 [DEBUG   ] Processed 2500 out of 2859 packages
2018-07-17 17:41:08 [DEBUG   ] Processed 2600 out of 2859 packages
2018-07-17 17:41:09 [DEBUG   ] Processed 2700 out of 2859 packages
2018-07-17 17:41:10 [DEBUG   ] Processed 2800 out of 2859 packages
2018-07-17 17:41:11 [DEBUG   ] Processed 2859 out of 2859 packages
